Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily Deaths,New Recoveries
"Apr 16, 2020",13430,1060,11213,449,26,260
"Apr 17, 2020",14352,922,11824,487,38,273
"Apr 18, 2020",16365,2013,13379,523,36,422
"Apr 19, 2020",17615,1250,14200,561,38,391
"Apr 20, 2020",18539,924,14672,594,33,419
"Apr 21, 2020",20080,1541,15458,647,53,702
"Apr 22, 2020",21370,1290,16317,683,36,395
"Apr 23, 2020",23039,1669,17304,723,40,642
"Apr 24, 2020",24447,1408,18169,782,59,484
"Apr 25, 2020",26283,1836,19517,827,45,443
"Apr 26, 2020",27890,1607,20484,883,56,584
"Apr 27, 2020",29451,1561,21373,941,58,614
"Apr 28, 2020",31324,1873,22566,1011,70,610
"Apr 29, 2020",33062,1738,23542,1083,72,690
"Apr 30, 2020",34863,1801,24636,1159,76,631
"May 01, 2020",37257,2394,26020,1230,71,939
"May 02, 2020",39699,2442,27547,1333,103,812
"May 03, 2020",42505,2806,29328,1402,69,956
"May 04, 2020",46437,3932,32011,1579,177,1072
"May 05, 2020",49400,2963,33550,1708,129,1295
"May 06, 2020",52987,3587,35855,1801,93,1189
"May 07, 2020",56351,3364,37667,1908,107,1445
"May 08, 2020",59695,3344,39803,2005,97,1111
"May 09, 2020",62808,3113,41384,2123,118,1414
"May 10, 2020",67161,4353,43955,2237,114,1668
"May 11, 2020",70768,3607,45899,2320,83,1580
"May 12, 2020",74292,3524,47429,2443,123,1871
"May 13, 2020",78055,3763,49073,2582,139,1980
"May 14, 2020",81997,3942,51346,2682,100,1569
"May 15, 2020",85784,3787,52738,2788,106,2289
"May 16, 2020",90648,4864,53515,2909,121,3966
"May 17, 2020",95698,5050,55838,3065,156,2571
"May 18, 2020",100328,4630,57896,3199,134,2438
"May 19, 2020",106475,6147,60819,3347,148,3076
"May 20, 2020",112028,5553,63125,3481,134,3113
"May 21, 2020",118226,6198,66040,3633,152,3131
"May 22, 2020",124794,6568,69192,3778,145,3271
"May 23, 2020",131423,6629,73116,3922,144,2561
"May 24, 2020",138536,7113,76764,4080,158,3307
"May 25, 2020",144950,6414,80013,4231,151,3014
"May 26, 2020",150793,5843,82110,4406,175,3571
"May 27, 2020",158086,7293,85737,4600,194,3472
"May 28, 2020",165386,7300,89687,4779,179,3171
"May 29, 2020",173491,8105,85811,5053,274,11707
"May 30, 2020",181827,8336,89624,5267,214,4309
"May 31, 2020",190609,8782,93261,5496,229,4916
"Jun 01, 2020",198370,7761,96915,5701,205,3902
"Jun 02, 2020",207191,8821,100978,5928,227,4531
"Jun 03, 2020",216824,9633,106560,6193,265,3786
"Jun 04, 2020",226713,9889,111788,6475,282,4379
"Jun 05, 2020",236184,9471,116184,6767,292,4783
"Jun 06, 2020",246622,10438,120857,7070,303,5462
"Jun 07, 2020",257486,10864,126301,7337,267,5153
